,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
1050,2001-01-27,2001-02-13,10000,10000,2000-11-01,2000-11-05,10000,10000,-4.0909505521795815,0.000522774389032903,False,False,0.2888443663464818,244981,572760,25,58,Window_10000,Demographics,mean
400,2000-11-29,2000-12-13,10000,10000,2000-11-01,2000-11-05,10000,10000,-4.146402349567689,0.0006063044104966677,False,False,0.26355247728296954,244981,572760,25,58,Window_10000,Demographics,mean
850,2001-01-01,2001-01-18,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.7567512538399175,0.0011604994296595674,False,False,4.976233487907417e-05,244981,572760,25,58,Window_10000,Demographics,mean
375,2000-11-27,2000-12-13,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.769424982103536,0.0012055090832643058,False,False,0.0019859246730641405,244981,572760,25,58,Window_10000,Demographics,mean
675,2000-12-29,2001-01-16,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.7072417991389823,0.0012283648699077242,False,False,9.037999283545954e-05,244981,572760,25,58,Window_10000,Demographics,mean
422,2000-11-29,2000-12-13,10000,10000,2001-02-16,2001-02-23,10000,10000,-3.519463062710864,0.002036642045284798,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
1072,2001-01-27,2001-02-13,10000,10000,2001-02-16,2001-02-23,10000,10000,-3.420300763141853,0.0022427660103555873,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
403,2000-11-29,2000-12-13,10000,10000,2000-11-13,2000-11-20,10000,10000,-3.4674583699341324,0.0023023149106243994,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
413,2000-11-29,2000-12-13,10000,10000,2001-01-03,2001-01-16,10000,10000,-3.3565079099605937,0.002357515526250755,False,True,0.1110171055121861,244981,572760,25,58,Window_10000,Demographics,mean
1200,2001-02-02,2001-02-14,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.5959662487555817,0.0024197460073583973,False,False,0.23792318863369502,244981,572760,25,58,Window_10000,Demographics,mean
550,2000-12-01,2000-12-16,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.494104126678994,0.0024276080624644047,False,False,0.0013406411172294807,244981,572760,25,58,Window_10000,Demographics,mean
1053,2001-01-27,2001-02-13,10000,10000,2000-11-13,2000-11-20,10000,10000,-3.3278418243250414,0.0028138568607358008,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
404,2000-11-29,2000-12-13,10000,10000,2000-11-18,2000-11-25,10000,10000,-3.3468476567397105,0.00305608953959125,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
700,2000-12-31,2001-01-16,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.358132510624227,0.0031290805537072287,False,False,1.0,244981,572760,25,58,Window_10000,Demographics,mean
364,2000-11-26,2000-11-29,10000,10000,2001-01-01,2001-01-18,10000,10000,3.3486586465731714,0.0031980457384916255,False,False,1.2986492541972959e-05,244981,572760,25,58,Window_10000,Demographics,mean
1063,2001-01-27,2001-02-13,10000,10000,2001-01-03,2001-01-16,10000,10000,-3.154615052576964,0.0036393554492954124,False,True,0.17629637444050728,244981,572760,25,58,Window_10000,Demographics,mean
264,2000-11-19,2000-11-24,10000,10000,2001-01-01,2001-01-18,10000,10000,3.249670385303699,0.0036750035192010056,False,False,0.0001694392021937066,244981,572760,25,58,Window_10000,Demographics,mean
419,2000-11-29,2000-12-13,10000,10000,2001-02-04,2001-02-13,10000,10000,-3.2213168675394748,0.0037809382721489394,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
872,2001-01-01,2001-01-18,10000,10000,2001-02-16,2001-02-23,10000,10000,-3.201667147177185,0.0038252154596073516,False,True,0.0014627165866811515,244981,572760,25,58,Window_10000,Demographics,mean
1054,2001-01-27,2001-02-13,10000,10000,2000-11-18,2000-11-25,10000,10000,-3.177815269751176,0.004052392560147158,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
825,2001-01-01,2001-01-17,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.2288058010859935,0.004209889699984288,False,False,0.038230512150871906,244981,572760,25,58,Window_10000,Demographics,mean
800,2001-01-01,2001-01-16,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.2402776968035756,0.004306781445856408,False,False,0.004597398809859379,244981,572760,25,58,Window_10000,Demographics,mean
397,2000-11-27,2000-12-13,10000,10000,2001-02-16,2001-02-23,10000,10000,-3.165207351673101,0.0043230705137272,False,True,0.03422323662282498,244981,572760,25,58,Window_10000,Demographics,mean
1069,2001-01-27,2001-02-13,10000,10000,2001-02-04,2001-02-13,10000,10000,-3.113080228712583,0.00446487069839494,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
697,2000-12-29,2001-01-16,10000,10000,2001-02-16,2001-02-23,10000,10000,-3.1152720795280393,0.004569792572002581,False,True,0.0024726603575886915,244981,572760,25,58,Window_10000,Demographics,mean
853,2001-01-01,2001-01-18,10000,10000,2000-11-13,2000-11-20,10000,10000,-3.090356175194664,0.0050018867121867944,False,True,0.0014627165866811515,244981,572760,25,58,Window_10000,Demographics,mean
1225,2001-02-01,2001-02-16,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.1307709242589232,0.00550399972139267,False,False,0.0003189888488803784,244981,572760,25,58,Window_10000,Demographics,mean
378,2000-11-27,2000-12-13,10000,10000,2000-11-13,2000-11-20,10000,10000,-3.0632070717659214,0.005506611335162641,False,True,0.03422323662282498,244981,572760,25,58,Window_10000,Demographics,mean
600,2000-12-16,2000-12-26,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.264783513574968,0.005644230625225455,False,False,1.0,244981,572760,25,58,Window_10000,Demographics,mean
863,2001-01-01,2001-01-18,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.974076478781203,0.005752511715241055,False,True,0.17971249487899593,244981,572760,25,58,Window_10000,Demographics,mean
362,2000-11-26,2000-11-29,10000,10000,2000-12-31,2001-01-16,10000,10000,3.102960804724795,0.005856341394081648,False,False,0.14255153931693956,244981,572760,25,58,Window_10000,Demographics,mean
678,2000-12-29,2001-01-16,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.9911551325227173,0.006167806533455045,False,True,0.0024726603575886915,244981,572760,25,58,Window_10000,Demographics,mean
339,2000-11-25,2000-11-28,10000,10000,2001-01-01,2001-01-18,10000,10000,3.0366782536141486,0.00651440521625837,False,False,1.2986492541972959e-05,244981,572760,25,58,Window_10000,Demographics,mean
262,2000-11-19,2000-11-24,10000,10000,2000-12-31,2001-01-16,10000,10000,3.0138631625623504,0.0066089616151038845,False,False,0.4803059754749328,244981,572760,25,58,Window_10000,Demographics,mean
869,2001-01-01,2001-01-18,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.9500234126445046,0.006642357116434741,False,True,0.009194683911759684,244981,572760,25,58,Window_10000,Demographics,mean
388,2000-11-27,2000-12-13,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.9086432032531366,0.006897866642416815,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
854,2001-01-01,2001-01-18,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.937239745575967,0.007200126819518201,False,True,0.0014627165866811515,244981,572760,25,58,Window_10000,Demographics,mean
1222,2001-02-02,2001-02-14,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.9981774658480003,0.00739148932384465,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
379,2000-11-27,2000-12-13,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.913813101710426,0.007816588462970854,False,True,0.03422323662282498,244981,572760,25,58,Window_10000,Demographics,mean
394,2000-11-27,2000-12-13,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.890753004508458,0.00783797665911399,False,True,0.14255153931693956,244981,572760,25,58,Window_10000,Demographics,mean
401,2000-11-29,2000-12-13,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.9289503590007064,0.00802045025518978,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
722,2000-12-31,2001-01-16,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.8992612978602987,0.008085605525606422,False,True,0.2588307748056652,244981,572760,25,58,Window_10000,Demographics,mean
688,2000-12-29,2001-01-16,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.8301672823705735,0.008092632603845854,False,True,0.23258217758213187,244981,572760,25,58,Window_10000,Demographics,mean
572,2000-12-01,2000-12-16,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.908471230048068,0.008145408050868703,False,True,0.02553825631020663,244981,572760,25,58,Window_10000,Demographics,mean
694,2000-12-29,2001-01-16,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.8513318881472336,0.008244929194483292,False,True,0.014568217930187964,244981,572760,25,58,Window_10000,Demographics,mean
189,2000-11-12,2000-11-16,10000,10000,2001-01-01,2001-01-18,10000,10000,2.914493982397485,0.008287946265575706,False,False,4.976233487907417e-05,244981,572760,25,58,Window_10000,Demographics,mean
1203,2001-02-02,2001-02-14,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.931897854368901,0.008556616382788157,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
679,2000-12-29,2001-01-16,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.8282812326871545,0.009085284892418541,False,True,0.0024726603575886915,244981,572760,25,58,Window_10000,Demographics,mean
1175,2001-02-03,2001-02-12,10000,10000,2000-11-01,2000-11-05,10000,10000,-3.0599994112222597,0.009122743711501008,False,False,0.6547208460185768,244981,572760,25,58,Window_10000,Demographics,mean
764,2001-01-10,2001-01-16,10000,10000,2001-01-01,2001-01-18,10000,10000,2.8017089086806406,0.010130185725275674,False,False,0.000520672346431023,244981,572760,25,58,Window_10000,Demographics,mean
1213,2001-02-02,2001-02-14,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.7802476667623655,0.010169719352657505,False,True,0.08085559837005234,244981,572760,25,58,Window_10000,Demographics,mean
415,2000-11-29,2000-12-13,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.8622969068986595,0.010354011131966092,False,False,0.26355247728296954,244981,572760,25,58,Window_10000,Demographics,mean
553,2000-12-01,2000-12-16,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.8001001049998817,0.010433193377422179,False,True,0.02553825631020663,244981,572760,25,58,Window_10000,Demographics,mean
1051,2001-01-27,2001-02-13,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.7775507278397873,0.010459874481170115,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
703,2000-12-31,2001-01-16,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.779090770063341,0.01066989120445391,False,True,0.2588307748056652,244981,572760,25,58,Window_10000,Demographics,mean
114,2000-11-07,2000-11-11,10000,10000,2001-01-01,2001-01-18,10000,10000,2.7860978419899056,0.011069107547106516,False,False,4.976233487907417e-05,244981,572760,25,58,Window_10000,Demographics,mean
1204,2001-02-02,2001-02-14,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.8095210656635685,0.011189074751689829,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
337,2000-11-25,2000-11-28,10000,10000,2000-12-31,2001-01-16,10000,10000,2.807491529590479,0.01123869096396172,False,False,0.14255153931693956,244981,572760,25,58,Window_10000,Demographics,mean
713,2000-12-31,2001-01-16,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.7009280215158373,0.011424665024945659,False,True,0.0019859246730641405,244981,572760,25,58,Window_10000,Demographics,mean
719,2000-12-31,2001-01-16,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.6955882174580106,0.012384024300050655,False,True,0.07275709782609284,244981,572760,25,58,Window_10000,Demographics,mean
1065,2001-01-27,2001-02-13,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.729476054830403,0.01256012003755715,False,False,0.2888443663464818,244981,572760,25,58,Window_10000,Demographics,mean
1219,2001-02-02,2001-02-14,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.721655567279939,0.01278046032259555,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
847,2001-01-01,2001-01-17,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.671348881857849,0.013635715549268054,False,True,0.30264568476714215,244981,572760,25,58,Window_10000,Demographics,mean
187,2000-11-12,2000-11-16,10000,10000,2000-12-31,2001-01-16,10000,10000,2.7020933217975136,0.013715010326684107,False,False,0.28165415768478136,244981,572760,25,58,Window_10000,Demographics,mean
563,2000-12-01,2000-12-16,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.6282336858406383,0.01377474044882329,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
569,2000-12-01,2000-12-16,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.646082520664618,0.01414586278662736,False,True,0.11578501055236079,244981,572760,25,58,Window_10000,Demographics,mean
554,2000-12-01,2000-12-16,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.6507585218182474,0.014601678164608365,False,True,0.02553825631020663,244981,572760,25,58,Window_10000,Demographics,mean
622,2000-12-16,2000-12-26,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.718186414671586,0.014609307006277309,False,True,0.3937686346429926,244981,572760,25,58,Window_10000,Demographics,mean
822,2001-01-01,2001-01-16,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.64111124342421,0.014919025378462195,False,True,0.06788915486182871,244981,572760,25,58,Window_10000,Demographics,mean
704,2000-12-31,2001-01-16,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.630082416500089,0.014965118908896255,False,True,0.2588307748056652,244981,572760,25,58,Window_10000,Demographics,mean
164,2000-11-11,2000-11-14,10000,10000,2001-01-01,2001-01-18,10000,10000,2.6526451752058606,0.015278140083113104,False,False,1.2986492541972959e-05,244981,572760,25,58,Window_10000,Demographics,mean
423,2000-11-29,2000-12-13,10000,10000,2001-02-21,2001-02-27,10000,10000,-2.64435732144125,0.015556109959010057,False,False,0.7143930376343263,244981,572760,25,58,Window_10000,Demographics,mean
762,2001-01-10,2001-01-16,10000,10000,2000-12-31,2001-01-16,10000,10000,2.6198601365261864,0.01564112174859255,False,False,0.7274902239993216,244981,572760,25,58,Window_10000,Demographics,mean
851,2001-01-01,2001-01-18,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.5952446833460767,0.015874086852243195,False,True,0.0014627165866811515,244981,572760,25,58,Window_10000,Demographics,mean
371,2000-11-26,2000-11-29,10000,10000,2001-02-01,2001-02-18,10000,10000,2.6222353324521905,0.01632168101510996,False,False,1.2986492541972959e-05,244981,572760,25,58,Window_10000,Demographics,mean
603,2000-12-16,2000-12-26,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.656245612387081,0.01662340486627874,False,True,0.3937686346429926,244981,572760,25,58,Window_10000,Demographics,mean
376,2000-11-27,2000-12-13,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.5555391295273866,0.017679721262026007,False,True,0.03422323662282498,244981,572760,25,58,Window_10000,Demographics,mean
112,2000-11-07,2000-11-11,10000,10000,2000-12-31,2001-01-16,10000,10000,2.57698305666223,0.017999909115991163,False,False,0.28165415768478136,244981,572760,25,58,Window_10000,Demographics,mean
828,2001-01-01,2001-01-17,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.5403170507183095,0.01828786382508729,False,True,0.30264568476714215,244981,572760,25,58,Window_10000,Demographics,mean
500,2000-12-02,2000-12-12,10000,10000,2000-11-01,2000-11-05,10000,10000,-2.646890293350725,0.019145006983710494,False,False,0.19895893109239865,244981,572760,25,58,Window_10000,Demographics,mean
613,2000-12-16,2000-12-26,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.5146622989950655,0.019357143921479282,False,True,0.0019639926091139515,244981,572760,25,58,Window_10000,Demographics,mean
368,2000-11-26,2000-11-29,10000,10000,2001-01-27,2001-02-13,10000,10000,2.540928636170032,0.019452008211652216,False,True,0.000842352731132683,244981,572760,25,58,Window_10000,Demographics,mean
803,2001-01-01,2001-01-16,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.5173545317373356,0.019608725481624255,False,True,0.06788915486182871,244981,572760,25,58,Window_10000,Demographics,mean
676,2000-12-29,2001-01-16,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.488660109929599,0.0198414428213814,False,True,0.0024726603575886915,244981,572760,25,58,Window_10000,Demographics,mean
625,2000-12-18,2000-12-29,10000,10000,2000-11-01,2000-11-05,10000,10000,-2.5993283931677347,0.020125889205027742,False,False,0.01141203638600166,244981,572760,25,58,Window_10000,Demographics,mean
1247,2001-02-01,2001-02-16,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.501350797146182,0.020307147216497137,False,True,0.007592011847308769,244981,572760,25,58,Window_10000,Demographics,mean
865,2001-01-01,2001-01-18,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.5085168974520657,0.020399207139071396,False,False,4.976233487907417e-05,244981,572760,25,58,Window_10000,Demographics,mean
1073,2001-01-27,2001-02-13,10000,10000,2001-02-21,2001-02-27,10000,10000,-2.4798738388549895,0.020900245350902246,False,False,0.7324398999038724,244981,572760,25,58,Window_10000,Demographics,mean
604,2000-12-16,2000-12-26,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.5432821536356074,0.020998013283719287,False,True,0.3937686346429926,244981,572760,25,58,Window_10000,Demographics,mean
390,2000-11-27,2000-12-13,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.497960584831582,0.02132619905773585,False,False,0.0019859246730641405,244981,572760,25,58,Window_10000,Demographics,mean
1036,2001-01-23,2001-01-30,10000,10000,2000-12-26,2001-01-16,10000,10000,2.4139855656790057,0.022565870864796427,True,True,0.0019606057358519747,244981,572760,25,58,Window_10000,Demographics,mean
844,2001-01-01,2001-01-17,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.428268570090581,0.022701153988333108,False,True,0.7274902239993216,244981,572760,25,58,Window_10000,Demographics,mean
271,2000-11-19,2000-11-24,10000,10000,2001-02-01,2001-02-18,10000,10000,2.4436165292845087,0.023023937179656583,False,False,0.0001694392021937066,244981,572760,25,58,Window_10000,Demographics,mean
1197,2001-02-03,2001-02-12,10000,10000,2001-02-16,2001-02-23,10000,10000,-2.512225142704486,0.02309870222774862,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
619,2000-12-16,2000-12-26,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.465362960736228,0.0233833996875151,False,True,0.0828265052492609,244981,572760,25,58,Window_10000,Demographics,mean
1075,2001-01-29,2001-02-13,10000,10000,2000-11-01,2000-11-05,10000,10000,-2.4612543258668285,0.023585834495261082,True,False,0.004597398809859379,244981,572760,25,58,Window_10000,Demographics,mean
162,2000-11-11,2000-11-14,10000,10000,2000-12-31,2001-01-16,10000,10000,2.4548355486210096,0.023905379235458907,False,False,0.14255153931693956,244981,572760,25,58,Window_10000,Demographics,mean
690,2000-12-29,2001-01-16,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.4247244910990284,0.02398381125827227,False,False,9.037999283545954e-05,244981,572760,25,58,Window_10000,Demographics,mean
1201,2001-02-02,2001-02-14,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.445039030216762,0.024400899045065247,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
838,2001-01-01,2001-01-17,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.3522752029176934,0.025658947444255516,False,True,0.7066297099055591,244981,572760,25,58,Window_10000,Demographics,mean
819,2001-01-01,2001-01-16,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.3789805541139937,0.0256619786272809,False,True,0.2525593171851649,244981,572760,25,58,Window_10000,Demographics,mean
829,2001-01-01,2001-01-17,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.380705214957582,0.025947493879287447,False,True,0.30264568476714215,244981,572760,25,58,Window_10000,Demographics,mean
1178,2001-02-03,2001-02-12,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.4502245501597555,0.026160994874568598,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
1228,2001-02-01,2001-02-16,10000,10000,2000-11-13,2000-11-20,10000,10000,-2.3698740711018558,0.026984656544399528,False,True,0.007592011847308769,244981,572760,25,58,Window_10000,Demographics,mean
268,2000-11-19,2000-11-24,10000,10000,2001-01-27,2001-02-13,10000,10000,2.3613377211384,0.027481703047607303,False,True,0.007567264746387473,244981,572760,25,58,Window_10000,Demographics,mean
804,2001-01-01,2001-01-16,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.3602255785450565,0.02754707767154828,False,True,0.06788915486182871,244981,572760,25,58,Window_10000,Demographics,mean
289,2000-11-22,2000-11-25,10000,10000,2001-01-01,2001-01-18,10000,10000,2.375548017172535,0.027632826701717687,False,False,1.2986492541972959e-05,244981,572760,25,58,Window_10000,Demographics,mean
1339,2001-02-19,2001-02-23,10000,10000,2001-01-01,2001-01-18,10000,10000,2.3595012156752095,0.0280589338758643,False,False,4.976233487907417e-05,244981,572760,25,58,Window_10000,Demographics,mean
701,2000-12-31,2001-01-16,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.3415649650341708,0.028232282455067204,False,True,0.2588307748056652,244981,572760,25,58,Window_10000,Demographics,mean
1215,2001-02-02,2001-02-14,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.409934257537069,0.02835282540718781,False,False,0.23792318863369502,244981,572760,25,58,Window_10000,Demographics,mean
416,2000-11-29,2000-12-13,10000,10000,2001-01-20,2001-01-22,10000,10000,-2.407205739345648,0.028507358234274794,False,False,0.052807511416113395,244981,572760,25,58,Window_10000,Demographics,mean
889,2001-01-17,2001-01-20,10000,10000,2001-01-01,2001-01-18,10000,10000,2.35138154239185,0.029066855001578996,False,False,1.2986492541972959e-05,244981,572760,25,58,Window_10000,Demographics,mean
813,2001-01-01,2001-01-16,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.2974331081535797,0.029277527042193805,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
361,2000-11-26,2000-11-29,10000,10000,2000-12-26,2001-01-16,10000,10000,2.315089985491448,0.029476101052683088,False,True,6.106435759008895e-06,244981,572760,25,58,Window_10000,Demographics,mean
551,2000-12-01,2000-12-16,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.319381309296167,0.03004957567749316,False,True,0.02553825631020663,244981,572760,25,58,Window_10000,Demographics,mean
873,2001-01-01,2001-01-18,10000,10000,2001-02-21,2001-02-27,10000,10000,-2.3068825619187856,0.03040972494382257,False,False,0.0005206723464310221,244981,572760,25,58,Window_10000,Demographics,mean
89,2000-11-05,2000-11-09,10000,10000,2001-01-01,2001-01-18,10000,10000,2.318207469987325,0.030610655494875946,False,False,4.976233487907417e-05,244981,572760,25,58,Window_10000,Demographics,mean
525,2000-12-01,2000-12-14,10000,10000,2000-11-01,2000-11-05,10000,10000,-2.355273522278842,0.030781815480029777,True,False,0.001963992609113953,244981,572760,25,58,Window_10000,Demographics,mean
346,2000-11-25,2000-11-28,10000,10000,2001-02-01,2001-02-18,10000,10000,2.319113203496955,0.03108912369289891,False,False,1.2986492541972959e-05,244981,572760,25,58,Window_10000,Demographics,mean
1188,2001-02-03,2001-02-12,10000,10000,2001-01-03,2001-01-16,10000,10000,-2.2849580203530544,0.032319031145112406,False,True,0.015186198557064538,244981,572760,25,58,Window_10000,Demographics,mean
1179,2001-02-03,2001-02-12,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.3397174550237416,0.032591638002881194,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
1066,2001-01-27,2001-02-13,10000,10000,2001-01-20,2001-01-22,10000,10000,-2.3025224301725227,0.03278265201446963,False,False,0.06281184751609843,244981,572760,25,58,Window_10000,Demographics,mean
398,2000-11-27,2000-12-13,10000,10000,2001-02-21,2001-02-27,10000,10000,-2.2722098702620523,0.03319858183192806,False,False,0.01471728611707626,244981,572760,25,58,Window_10000,Demographics,mean
565,2000-12-01,2000-12-16,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.276247013592213,0.034593144469832415,False,False,0.0013406411172294807,244981,572760,25,58,Window_10000,Demographics,mean
1244,2001-02-01,2001-02-16,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.2295419840510635,0.035394662701948444,False,True,0.041226833337163815,244981,572760,25,58,Window_10000,Demographics,mean
1194,2001-02-03,2001-02-12,10000,10000,2001-02-04,2001-02-13,10000,10000,-2.261773399302246,0.03632511205381481,False,True,0.30169958247834494,244981,572760,25,58,Window_10000,Demographics,mean
343,2000-11-25,2000-11-28,10000,10000,2001-01-27,2001-02-13,10000,10000,2.242077165130083,0.036452649442701046,False,True,0.000842352731132683,244981,572760,25,58,Window_10000,Demographics,mean
715,2000-12-31,2001-01-16,10000,10000,2001-01-17,2001-01-21,10000,10000,-2.2367789379539973,0.03685107616011377,False,False,1.0,244981,572760,25,58,Window_10000,Demographics,mean
1039,2001-01-23,2001-01-30,10000,10000,2001-01-01,2001-01-18,10000,10000,2.205568659386528,0.03723670481104859,True,False,0.0014627165866811515,244981,572760,25,58,Window_10000,Demographics,mean
698,2000-12-29,2001-01-16,10000,10000,2001-02-21,2001-02-27,10000,10000,-2.1992372064543706,0.037737467529914547,False,False,0.0009040226158907878,244981,572760,25,58,Window_10000,Demographics,mean
1229,2001-02-01,2001-02-16,10000,10000,2000-11-18,2000-11-25,10000,10000,-2.2074222474728655,0.03801594537765419,False,True,0.007592011847308769,244981,572760,25,58,Window_10000,Demographics,mean
360,2000-11-26,2000-11-29,10000,10000,2000-12-16,2000-12-29,10000,10000,2.2527918691359163,0.0386621339051808,False,True,0.0005883437887651408,244981,572760,25,58,Window_10000,Demographics,mean
359,2000-11-26,2000-11-29,10000,10000,2000-12-01,2000-12-17,10000,10000,2.2142317341697217,0.03923753591604675,False,True,3.40185571161713e-05,244981,572760,25,58,Window_10000,Demographics,mean
287,2000-11-22,2000-11-25,10000,10000,2000-12-31,2001-01-16,10000,10000,2.2025956573529064,0.04017028298631632,False,False,0.14255153931693956,244981,572760,25,58,Window_10000,Demographics,mean
417,2000-11-29,2000-12-13,10000,10000,2001-01-22,2001-01-30,10000,10000,-2.1798686647698746,0.04025098739166309,False,True,1.0,244981,572760,25,58,Window_10000,Demographics,mean
1337,2001-02-19,2001-02-23,10000,10000,2000-12-31,2001-01-16,10000,10000,2.1915375850977785,0.040419068983023755,False,False,0.28165415768478136,244981,572760,25,58,Window_10000,Demographics,mean
196,2000-11-12,2000-11-16,10000,10000,2001-02-01,2001-02-18,10000,10000,2.1829537396613783,0.040534960005188345,False,False,4.976233487907417e-05,244981,572760,25,58,Window_10000,Demographics,mean
601,2000-12-16,2000-12-26,10000,10000,2000-11-04,2000-11-11,10000,10000,-2.2103445559419943,0.04107944496256866,False,True,0.3937686346429926,244981,572760,25,58,Window_10000,Demographics,mean
475,2000-12-03,2000-12-12,10000,10000,2000-11-01,2000-11-05,10000,10000,-2.2590440189368985,0.04170485357607455,True,False,0.6547208460185768,244981,572760,25,58,Window_10000,Demographics,mean
1223,2001-02-02,2001-02-14,10000,10000,2001-02-21,2001-02-27,10000,10000,-2.1885289682371667,0.042058211335254274,False,False,0.6940256232297337,244981,572760,25,58,Window_10000,Demographics,mean
261,2000-11-19,2000-11-24,10000,10000,2000-12-26,2001-01-16,10000,10000,2.134719909517673,0.04237705931954322,False,True,8.28697931088572e-05,244981,572760,25,58,Window_10000,Demographics,mean
370,2000-11-26,2000-11-29,10000,10000,2001-02-01,2001-02-14,10000,10000,2.204245777623026,0.042494960516175476,False,False,0.0024337498079865395,244981,572760,25,58,Window_10000,Demographics,mean
887,2001-01-17,2001-01-20,10000,10000,2000-12-31,2001-01-16,10000,10000,2.173100562446044,0.04262624290747441,False,False,0.14255153931693956,244981,572760,25,58,Window_10000,Demographics,mean
