,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
59,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,0.576644254969196,0.5948363724225858,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
32,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.554851121171512,0.5992854839269777,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
136,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-11-24 00:00:00-2000-11-26 00:00:00,12141.0,4642.58,36423,-0.5577027571664135,0.605958062723758,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
119,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-12-29 00:00:00-2000-12-31 00:00:00,7663.67,4514.82,22991,0.5359756107994189,0.6206311343936429,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
104,2001-02-16 00:00:00-2001-02-18 00:00:00,7770.0,2255.48,23310,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,0.5293196974058142,0.6237927508081256,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
7,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2000-12-13 00:00:00-2000-12-17 00:00:00,8281.8,3676.22,41409,0.5071252936905121,0.6246949052820752,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
157,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-11-21 00:00:00-2000-11-23 00:00:00,6257.67,1673.15,18773,-0.5225285735196832,0.6289070247811422,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
196,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-31 00:00:00-2001-01-03 00:00:00,7715.25,5202.56,30861,-0.5173569929767313,0.6330494824664226,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
168,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-01-19 00:00:00-2001-01-22 00:00:00,16292.25,5730.15,65169,-0.5007496535445587,0.6416610843231847,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
73,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,2000-12-13 00:00:00-2000-12-17 00:00:00,8281.8,3676.22,41409,0.4882086849609433,0.641805114933077,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
103,2001-02-16 00:00:00-2001-02-18 00:00:00,7770.0,2255.48,23310,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,0.5006784842483002,0.6423656292872715,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
158,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-11-24 00:00:00-2000-11-26 00:00:00,12141.0,4642.58,36423,-0.49707960834125525,0.6452172741207636,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
152,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-12-31 00:00:00-2001-01-03 00:00:00,7715.25,5202.56,30861,-0.48333219093098884,0.6459920772664003,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
10,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.4794913351842655,0.6491899391685145,False,False,0.5402913746074198,586249,233952,22,9,Trend,Promotion,mean
176,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-0.5005174021418727,0.651287212907698,False,False,0.5186050164287255,586249,233952,22,9,Trend,Promotion,mean
132,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-0.4729446225326964,0.6542908865774016,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
61,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2000-12-03 00:00:00-2000-12-05 00:00:00,7528.0,4370.3,22584,0.47282449588938635,0.6611370133738139,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
51,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2000-12-13 00:00:00-2000-12-17 00:00:00,8281.8,3676.22,41409,0.4697766255868093,0.6668097447837911,False,False,0.5186050164287255,586249,233952,22,9,Trend,Promotion,mean
83,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,2000-12-03 00:00:00-2000-12-05 00:00:00,7528.0,4370.3,22584,0.46439755674670163,0.6689627773893456,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
181,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-01 00:00:00-2000-12-03 00:00:00,9077.0,3841.44,27231,-0.46070969219737834,0.6692964245474633,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
195,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-20 00:00:00-2000-12-22 00:00:00,572.33,103.02,1717,-0.4588891002283316,0.6704976020414415,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
131,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2001-01-22 00:00:00-2001-01-24 00:00:00,10947.67,9330.82,32843,0.4529468581463113,0.6743960229856797,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
17,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2000-12-03 00:00:00-2000-12-05 00:00:00,7528.0,4370.3,22584,0.460922819669381,0.675636396778253,False,False,0.2415665869689695,586249,233952,22,9,Trend,Promotion,mean
177,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-11-10 00:00:00-2000-11-12 00:00:00,10382.0,3378.8,31146,-0.45033902712962615,0.6761538138900509,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
123,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2001-01-15 00:00:00-2001-01-18 00:00:00,7388.5,1945.1,29554,0.45083699646073117,0.6780122542171514,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
116,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-12-07 00:00:00-2000-12-10 00:00:00,8296.0,3362.8,33184,0.4471828828456662,0.6787742344356102,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
128,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-12-17 00:00:00-2000-12-19 00:00:00,6744.0,6764.48,20232,0.4315346973703225,0.6886523248630363,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
140,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-12-22 00:00:00-2000-12-26 00:00:00,1751.6,2042.69,8758,0.41557233744428296,0.6919586380085738,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
112,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-11-17 00:00:00-2000-11-19 00:00:00,7944.0,3932.6,23832,0.4228625663976286,0.6944694749278887,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
188,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-01-12 00:00:00-2001-01-14 00:00:00,10410.0,5214.02,31230,-0.42274166990754813,0.6945774889295286,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
174,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-12-31 00:00:00-2001-01-03 00:00:00,7715.25,5202.56,30861,-0.4162968164852925,0.6982420319173368,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
137,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-12-01 00:00:00-2000-12-03 00:00:00,9077.0,3841.44,27231,-0.4112609133003649,0.7006949724326252,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
151,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-12-20 00:00:00-2000-12-22 00:00:00,572.33,103.02,1717,-0.40912839798009554,0.7021397745586881,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
105,2001-02-16 00:00:00-2001-02-18 00:00:00,7770.0,2255.48,23310,2000-12-03 00:00:00-2000-12-05 00:00:00,7528.0,4370.3,22584,0.40696168155587115,0.7050640519379916,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
76,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.3961344583118903,0.705870584613143,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
133,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-11-10 00:00:00-2000-11-12 00:00:00,10382.0,3378.8,31146,-0.3991086116458487,0.708950610397197,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
187,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-01-09 00:00:00-2001-01-11 00:00:00,4087.67,355.66,12263,-0.3875051633186199,0.7184587490389338,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
95,2001-02-16 00:00:00-2001-02-18 00:00:00,7770.0,2255.48,23310,2000-12-13 00:00:00-2000-12-17 00:00:00,8281.8,3676.22,41409,0.38697912099361403,0.7212618158948081,False,False,0.5186050164287255,586249,233952,22,9,Trend,Promotion,mean
154,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-0.3898156975386693,0.7217752751751937,False,False,0.5186050164287255,586249,233952,22,9,Trend,Promotion,mean
38,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,0.3677534302402295,0.7259287291402416,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
25,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2000-11-21 00:00:00-2000-11-23 00:00:00,6257.67,1673.15,18773,-0.36687968201422927,0.7308682048536466,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
144,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2001-01-12 00:00:00-2001-01-14 00:00:00,10410.0,5214.02,31230,-0.36672219522981025,0.7312079322584901,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
159,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-12-01 00:00:00-2000-12-03 00:00:00,9077.0,3841.44,27231,-0.36463602413036655,0.7339093675225072,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
173,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-12-20 00:00:00-2000-12-22 00:00:00,572.33,103.02,1717,-0.36273508350060923,0.7352242063655374,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
189,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-01-15 00:00:00-2001-01-18 00:00:00,7388.5,1945.1,29554,-0.36553615603901635,0.7353062508689187,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
110,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,0.36998621875507665,0.7360205501399395,False,False,0.5186050164287255,586249,233952,22,9,Trend,Promotion,mean
155,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-11-10 00:00:00-2000-11-12 00:00:00,10382.0,3378.8,31146,-0.35381135320108825,0.7414108509437959,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
53,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2000-12-29 00:00:00-2000-12-31 00:00:00,7663.67,4514.82,22991,0.34642346808357527,0.7464823533824988,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
182,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-07 00:00:00-2000-12-10 00:00:00,8296.0,3362.8,33184,-0.34632781841416066,0.747271961366311,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
37,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,0.33638064983852894,0.7483026186850967,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
121,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2001-01-09 00:00:00-2001-01-11 00:00:00,4087.67,355.66,12263,0.34212547786632147,0.7497553075818731,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
26,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2000-11-24 00:00:00-2000-11-26 00:00:00,12141.0,4642.58,36423,-0.338261341883336,0.7507267284583882,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
162,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-12-22 00:00:00-2000-12-26 00:00:00,1751.6,2042.69,8758,0.34385025180420753,0.7507779369752619,False,False,0.5186050164287255,586249,233952,22,9,Trend,Promotion,mean
98,2001-02-16 00:00:00-2001-02-18 00:00:00,7770.0,2255.48,23310,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.33600404809256146,0.7528946122964394,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
36,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2001-01-19 00:00:00-2001-01-22 00:00:00,16292.25,5730.15,65169,-0.3281026639415113,0.7540128368299048,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
143,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2001-01-09 00:00:00-2001-01-11 00:00:00,4087.67,355.66,12263,-0.32530784396016726,0.760173456565317,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
166,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-01-12 00:00:00-2001-01-14 00:00:00,10410.0,5214.02,31230,-0.3250500626749603,0.7615061225013955,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
75,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,2000-12-29 00:00:00-2000-12-31 00:00:00,7663.67,4514.82,22991,0.3210569138067041,0.765009077136194,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
122,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2001-01-12 00:00:00-2001-01-14 00:00:00,10410.0,5214.02,31230,0.30581738456067226,0.7752344715083728,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
178,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-11-17 00:00:00-2000-11-19 00:00:00,7944.0,3932.6,23832,-0.30572913592749784,0.7753098553545781,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
145,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2001-01-15 00:00:00-2001-01-18 00:00:00,7388.5,1945.1,29554,-0.29873520551059835,0.7753412116663093,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
9,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2000-12-29 00:00:00-2000-12-31 00:00:00,7663.67,4514.82,22991,0.3087124320547326,0.7764363652685753,False,False,0.2415665869689695,586249,233952,22,9,Trend,Promotion,mean
194,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-17 00:00:00-2000-12-19 00:00:00,6744.0,6764.48,20232,-0.2966506729834119,0.7817347419702,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
165,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-01-09 00:00:00-2001-01-11 00:00:00,4087.67,355.66,12263,-0.2884238875755921,0.7874203587451979,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
138,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-12-07 00:00:00-2000-12-10 00:00:00,8296.0,3362.8,33184,-0.27528622192213803,0.7923348718424374,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
97,2001-02-16 00:00:00-2001-02-18 00:00:00,7770.0,2255.48,23310,2000-12-29 00:00:00-2000-12-31 00:00:00,7663.67,4514.82,22991,0.27712256460886886,0.7954290923473499,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
111,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-11-10 00:00:00-2000-11-12 00:00:00,10382.0,3378.8,31146,0.2767046124703411,0.795913821708533,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
197,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-01-22 00:00:00-2001-01-24 00:00:00,10947.67,9330.82,32843,-0.2739783090275042,0.7978709557727501,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
130,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-12-31 00:00:00-2001-01-03 00:00:00,7715.25,5202.56,30861,0.2720066051540014,0.7994570827187605,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
129,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-12-20 00:00:00-2000-12-22 00:00:00,572.33,103.02,1717,0.26756064697073034,0.8024520302124633,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
115,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,2000-12-01 00:00:00-2000-12-03 00:00:00,9077.0,3841.44,27231,0.2656058593064686,0.8038523374317339,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
39,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2000-12-03 00:00:00-2000-12-05 00:00:00,7528.0,4370.3,22584,0.26159141544238507,0.8058108116843083,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
65,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2001-01-22 00:00:00-2001-01-24 00:00:00,10947.67,9330.82,32843,0.25634171604635764,0.8103339428228483,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
3,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2000-11-21 00:00:00-2000-11-23 00:00:00,6257.67,1673.15,18773,-0.2596760730735085,0.8112554599638337,False,False,0.2415665869689695,586249,233952,22,9,Trend,Promotion,mean
167,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-01-15 00:00:00-2001-01-18 00:00:00,7388.5,1945.1,29554,-0.2546439323022803,0.8123378228602025,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
54,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.2521554434399251,0.8128574956770782,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
160,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-12-07 00:00:00-2000-12-10 00:00:00,8296.0,3362.8,33184,-0.23751282879865598,0.8238669270887974,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
42,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2000-12-31 00:00:00-2001-01-03 00:00:00,7715.25,5202.56,30861,-0.2316451188433642,0.8245847369847389,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
62,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2000-12-17 00:00:00-2000-12-19 00:00:00,6744.0,6764.48,20232,0.2333232244854248,0.8269685232614383,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
50,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2000-12-07 00:00:00-2000-12-10 00:00:00,8296.0,3362.8,33184,0.23242828336543148,0.8271901995484756,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
134,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-11-17 00:00:00-2000-11-19 00:00:00,7944.0,3932.6,23832,-0.2292362492550256,0.8292112326582075,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
57,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2001-01-15 00:00:00-2001-01-18 00:00:00,7388.5,1945.1,29554,0.23020743044347355,0.8295318046572389,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
46,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,2000-11-17 00:00:00-2000-11-19 00:00:00,7944.0,3932.6,23832,0.2240258234550567,0.8337191599602565,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
4,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2000-11-24 00:00:00-2000-11-26 00:00:00,12141.0,4642.58,36423,-0.22583093145104718,0.8351330558190696,False,False,0.2415665869689695,586249,233952,22,9,Trend,Promotion,mean
150,2001-02-22 00:00:00-2001-02-25 00:00:00,8685.5,3268.2,34742,2000-12-17 00:00:00-2000-12-19 00:00:00,6744.0,6764.48,20232,-0.21859704888405285,0.8369894750693051,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
87,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,2001-01-22 00:00:00-2001-01-24 00:00:00,10947.67,9330.82,32843,0.21698939647395998,0.8391250147910587,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
69,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,2000-11-21 00:00:00-2000-11-23 00:00:00,6257.67,1673.15,18773,-0.21081697138272654,0.8441261258501467,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
14,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2001-01-19 00:00:00-2001-01-22 00:00:00,16292.25,5730.15,65169,-0.20290977331297144,0.8464680207180553,False,False,0.5402913746074198,586249,233952,22,9,Trend,Promotion,mean
29,2001-02-01 00:00:00-2001-02-04 00:00:00,7805.25,3913.93,31221,2000-12-13 00:00:00-2000-12-17 00:00:00,8281.8,3676.22,41409,0.20133227960274494,0.847690213369815,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
156,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-11-17 00:00:00-2000-11-19 00:00:00,7944.0,3932.6,23832,-0.20386734409534532,0.8484522365417186,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
184,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-22 00:00:00-2000-12-26 00:00:00,1751.6,2042.69,8758,0.20141485646828247,0.852176043095054,False,False,0.5186050164287255,586249,233952,22,9,Trend,Promotion,mean
172,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2000-12-17 00:00:00-2000-12-19 00:00:00,6744.0,6764.48,20232,-0.1945207193523869,0.8552876521026147,False,False,1.0,586249,233952,22,9,Trend,Promotion,mean
21,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,2001-01-22 00:00:00-2001-01-24 00:00:00,10947.67,9330.82,32843,0.19702775880299433,0.8553546893684635,False,False,0.2415665869689695,586249,233952,22,9,Trend,Promotion,mean
